treatment,attempted,correct,proportion,et,NOTES
timed,75,73,0.973,,
untimed,75,67,0.893,172,
timed,69,68,0.985,,
untimed,75,73,0.973,129,
untimed,72,69,0.958,232,
timed,52,45,0.865,,
timed,49,46,0.939,,
untimed,75,75,1,214,
untimed,75,75,1,195,
timed,68,65,0.9558823529,,
timed,59,59,1,,
untimed,75,74,0.9866666667,81,
timed,52,52,1,,
timed,75,73,0.9733333333,,
timed,55,52,0.9454545455,,
timed,43,41,0.9534883721,,
timed,75,62,0.8266666667,,
untimed,75,75,1,348,
untimed,71,69,0.9718309859,428,
timed,37,36,0.972972973,,
timed,47,44,0.9361702128,,
timed,39,35,0.8974358974,,
timed,44,43,0.9772727273,,
timed,54,51,0.9444444444,,
timed,17,14,0.8235294118,,
timed,45,44,0.9777777778,,
timed,51,50,0.9803921569,,
timed,30,28,0.9333333333,,
timed,74,28,0.3783783784,,
timed,70,69,0.9857142857,,
timed,75,75,1,,
timed,31,27,0.8709677419,,
timed,47,44,0.9361702128,,
timed,75,74,0.9866666667,,
timed,75,74,0.9866666667,,
timed,75,74,0.9866666667,,
timed,61,57,0.9344262295,,
timed,62,61,0.9838709677,,
timed,61,55,0.9016393443,,
timed,75,18,0.24,,"put 0 for a lot of them, like he gave up"
timed,75,5,0.06666666667,,"didn't give answers to problems, numbered the problems, 1-27, and then started again"
timed,75,73,0.9733333333,,
timed,74,73,0.9864864865,,
timed,38,38,1,,
timed,70,70,1,,
timed,39,36,0.9230769231,,
untimed,75,72,0.96,128,
untimed,75,75,1,220,
untimed,75,75,1,149,
timed,22,21,0.9545454545,,
untimed,75,71,0.9466666667,193,
untimed,75,70,0.9333333333,239,
untimed,75,65,0.8666666667,523,
untimed,75,67,0.8933333333,239,
untimed,75,74,0.9866666667,101,
untimed,75,75,1,144,
untimed,55,53,0.9636363636,420,
untimed,75,75,1,152,
untimed,75,70,0.9333333333,273,
untimed,75,74,0.9866666667,90,
untimed,75,75,1,100,
untimed,74,74,1,106,
untimed,75,74,0.9866666667,104,
untimed,75,75,1,148,
untimed,75,75,1,129,"by this point, we will have added 18 untimed people, making up for the 18 people we did in Ms. Valenti's class"
untimed,75,71,0.9466666667,128,
timed,75,75,1,,
timed,75,67,0.8933333333,,
timed,36,36,1,,
timed,31,28,0.9032258065,163,
timed,26,22,0.8461538462,,
timed,45,45,1,,
timed,55,49,0.8909090909,,
timed,38,38,1,,
timed,75,72,0.96,,
untimed,75,75,1,144,
timed,66,63,0.9545454545,,
timed,62,62,1,,
untimed,75,75,1,154,
timed,67,66,0.9850746269,,
untimed,65,63,0.9692307692,219,didn't finish because of bell
untimed,75,75,1,195,
timed,75,73,0.9733333333,,
